queueRank,status,submitted,company,role,fitTier,companyType,jobDomain,domainResume,location,applicationUrl,folder,resumePath,trackerNote
1,closed,,Anyscale,New Grad 2026: Software Engineer,high,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA Palo Alto, CA",https://jobs.ashbyhq.com/anyscale/31d09081-f5e7-45e4-b561-1c53d0ca9200?utm_source=vansh,ng_applications/0001__Anyscale__New_Grad_2026_Software_Engineer,ng_applications/0001__Anyscale__New_Grad_2026_Software_Engineer/Yuanbo_Pang_Resume.pdf,Closed/rechecked 2026-06-07: Ashby page says Job not found.
2,closed,,Commure,New Grad 2026: Software Engineer,high,Startup / venture-backed company,Backend / full-stack software,backend,"Mountain View, CA",https://www.commure.com/careers-detail?ashby_jid=00dbfa4a-986c-4c98-a966-47874d1ff0f8&utm_source=vansh&ref=vansh,ng_applications/0002__Commure__New_Grad_2026_Software_Engineer,ng_applications/0002__Commure__New_Grad_2026_Software_Engineer/Yuanbo_Pang_Resume.pdf,Closed/rechecked 2026-06-07: Commure careers page and direct Ashby URL show no job/application entry.
3,submitted,2026-06-06T20:00:10.141Z,Cylake,Software Engineer - 2026 University Grad,high,Startup / venture-backed company,Backend / full-stack software,backend,Sunnyvale,https://jobs.ashbyhq.com/cylake-inc/99136eb5-25fc-4ccd-a062-ebef257e6e44,ng_applications/0003__Cylake__Software_Engineer_-_2026_University_Grad,ng_applications/0003__Cylake__Software_Engineer_-_2026_University_Grad/Yuanbo_Pang_Resume.pdf,Submitted in Chrome/CUA. Confirmation text: Success Your application was successfully submitted.
4,submitted,2026-06-06T22:50:05.217Z,Decagon,New Grad 2026: Agent Software Engineer,high,Startup / venture-backed company,AI/ML / applied AI,ai_ml,"San Francisco, CA",https://jobs.ashbyhq.com/decagon/2a435dd5-1212-42bb-ae5a-d7432902acd2?utm_source=vansh,ng_applications/0004__Decagon__New_Grad_2026_Agent_Software_Engineer,ng_applications/0004__Decagon__New_Grad_2026_Agent_Software_Engineer/Yuanbo_Pang_Resume.pdf,User reported Decagon was submitted manually; tracker updated accordingly.
5,closed,,Persona,Software Engineer 2026 New Grad,high,Startup / venture-backed company,Backend / full-stack software,backend,SF,https://jobs.ashbyhq.com/persona/fd4d41b2-42b4-454e-91ad-d61fdc6a0042/application?utm_source=vansh,ng_applications/0005__Persona__Software_Engineer_2026_New_Grad,ng_applications/0005__Persona__Software_Engineer_2026_New_Grad/Yuanbo_Pang_Resume.pdf,Chrome/CUA page text: Job not found.
6,closed,,Ramp,New Grad 2026: Software Engineer - Backend,high,Startup / venture-backed company,Backend / full-stack software,backend,"New York, NY",https://jobs.ashbyhq.com/ramp/83075cf0-9c22-4475-9c6b-e21923a96df8?utm_source=vansh,ng_applications/0006__Ramp__New_Grad_2026_Software_Engineer_-_Backend,ng_applications/0006__Ramp__New_Grad_2026_Software_Engineer_-_Backend/Yuanbo_Pang_Resume.pdf,Chrome/CUA page text: Job not found.
7,submitted,2026-06-06T20:06:39.970Z,Ramp,New Grad 2026: Software Engineer - Frontend,high,Startup / venture-backed company,Backend / full-stack software,backend,"New York, NY",https://jobs.ashbyhq.com/ramp/a1229aec-1105-4c47-8533-b912e732ed89?utm_source=vansh,ng_applications/0007__Ramp__New_Grad_2026_Software_Engineer_-_Frontend,ng_applications/0007__Ramp__New_Grad_2026_Software_Engineer_-_Frontend/Yuanbo_Pang_Resume.pdf,Submitted in Chrome/CUA. Confirmation: Thank you for your interest in Ramp! Your application has been received.
8,needs_recheck,,SpiderRock,New Grad 2026: Software Engineer,high,Startup / small-to-mid company,Backend / full-stack software,backend,"Chicago, IL",https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?jobId=560273&utm_source=vansh&ref=vansh,ng_applications/0008__SpiderRock__New_Grad_2026_Software_Engineer,ng_applications/0008__SpiderRock__New_Grad_2026_Software_Engineer/Yuanbo_Pang_Resume.pdf,Rechecked 2026-06-07: ADP page returns unexpected error after reload; not submitted.
9,submitted,2026-06-06T22:50:05.239Z,WeRide,New Grads 2026 - Software Engineer - Algorithm,high,Startup / venture-backed company,Backend / full-stack software,backend,"San Jose, CA",https://jobs.lever.co/weride/1dc0209a-f90b-4f1c-a614-75f5b7883e6d/apply?utm_source=Simplify&ref=Simplify,ng_applications/0009__WeRide__New_Grads_2026_-_Software_Engineer_-_Algorithm,ng_applications/0009__WeRide__New_Grads_2026_-_Software_Engineer_-_Algorithm/Yuanbo_Pang_Resume.pdf,User reported WeRide application was submitted manually after prior CAPTCHA blocker; tracker updated accordingly.
10,submitted,2026-06-06T20:18:56.286Z,8VC,Software Engineer New Grad,high,Startup / venture-backed company,Backend / full-stack software,backend,SF,https://jobs.ashbyhq.com/8vc/4fea7270-2409-4701-b147-fc961d95588d/application?utm_source=Simplify&ref=Simplify,ng_applications/0010__8VC__Software_Engineer_New_Grad,ng_applications/0010__8VC__Software_Engineer_New_Grad/Yuanbo_Pang_Resume.pdf,Submitted in Chrome/CUA. Confirmation: Your application was successfully submitted. We'll contact you if there are next steps.
11,closed,,Agave (W22),New Grad 2025: Software Engineer,high,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA",https://www.workatastartup.com/jobs/81441?utm_source=vansh,ng_applications/0011__Agave_W22__New_Grad_2025_Software_Engineer,ng_applications/0011__Agave_W22__New_Grad_2025_Software_Engineer/Yuanbo_Pang_Resume.pdf,Chrome/CUA opened Work at a Startup URL; page returned Y Combinator 404 File Not Found.
12,submitted,2026-06-06T22:57:48.441Z,AppLovin,"Backend Engineer, New Grad",high,Startup / venture-backed company,Backend / full-stack software,backend,"Palo Alto, CA",https://jobright.ai/jobs/info/68cce286d11b445e0bee3cbc?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0012__AppLovin__Backend_Engineer_New_Grad,ng_applications/0012__AppLovin__Backend_Engineer_New_Grad/Yuanbo_Pang_Resume.pdf,User reported AppLovin was submitted manually after Greenhouse email verification; tracker updated accordingly.
13,submitted,2026-06-06T20:21:27.751Z,Brain Co.,Early Career AI/ML Engineer,high,Startup / venture-backed company,AI/ML / applied AI,ai_ml,California,https://jobs.ashbyhq.com/brainco/bb6e555b-8bb1-4cd7-9813-4f82a5ebe839/application?utm_source=Simplify&ref=Simplify,ng_applications/0013__Brain_Co.__Early_Career_AIML_Engineer,ng_applications/0013__Brain_Co.__Early_Career_AIML_Engineer/Yuanbo_Pang_Resume.pdf,Submitted in Chrome/CUA. Confirmation: Your application was successfully submitted. We'll contact you if there are next steps.
