verdict,reason,checkedBy,curlStatus,company,role,location,fitTier,riskFlags,applicationUrl,curlFinalUrl,browserEvidenceTitle,browserEvidenceUrl,source,httpStatus,liveStatus,error
confirmed_closed_or_dead,HTTP 410,curl,410,Adobe,New Grad 2026: AI Context Engineer,"San Jose, CA San Francisco, CA",high,,https://careers.adobe.com/us/en/job/ADOBUSR158639EXTERNALENUS/2026-University-Graduate-AI-Context-Engineer?utm_source=vansh,https://careers.adobe.com/us/en/job/ADOBUSR158639EXTERNALENUS/2026-University-Graduate-AI-Context-Engineer?utm_source=vansh,,,vanshb03/New-Grad-2026,410,dead-or-error,
confirmed_closed_or_dead,HTTP 410,curl,410,Adobe,New Grad 2026: Machine Learning Engineer,"San Jose, CA",high,,https://careers.adobe.com/us/en/job/ADOBUSR157573EXTERNALENUS/2026-University-Graduate-Machine-Learning-Engineer?utm_source=vansh,https://careers.adobe.com/us/en/job/ADOBUSR157573EXTERNALENUS/2026-University-Graduate-Machine-Learning-Engineer?utm_source=vansh,,,vanshb03/New-Grad-2026,410,dead-or-error,
confirmed_closed_or_dead,HTTP 410,curl,410,Adobe,New Grad 2026: Machine Learning Engineer,"San Jose, CA San Francisco, CA",high,,https://careers.adobe.com/us/en/job/ADOBUSR158632EXTERNALENUS/2026-University-Graduate-Machine-Learning-Engineer?utm_source=vansh,https://careers.adobe.com/us/en/job/ADOBUSR158632EXTERNALENUS/2026-University-Graduate-Machine-Learning-Engineer?utm_source=vansh,,,vanshb03/New-Grad-2026,410,dead-or-error,
confirmed_closed_or_dead,HTTP 410,curl,410,Adobe,New Grad 2026: Software Engineer,"San Jose, CA Lehi, UT",high,,https://careers.adobe.com/us/en/job/ADOBUSR159163EXTERNALENUS/2026-University-Graduate-Software-Engineer?utm_source=vansh,https://careers.adobe.com/us/en/job/ADOBUSR159163EXTERNALENUS/2026-University-Graduate-Software-Engineer?utm_source=vansh,,,vanshb03/New-Grad-2026,410,dead-or-error,
confirmed_closed_or_dead,HTTP 410,curl,410,Atlassian,New Grad 2026: Machine Learning Engineer,"San Francisco, CA",high,,https://careers-americas.icims.com/jobs/20906/machine-learning-engineer%252c-2026-graduate-u.s./job?utm_source=vansh,https://careers-americas.icims.com/jobs/20906/machine-learning-engineer%252c-2026-graduate-u.s./job?utm_source=vansh,,,vanshb03/New-Grad-2026,410,dead-or-error,
confirmed_closed_or_dead,HTTP 410,curl,410,Atlassian,New Grad 2026: Software Engineer,"Seattle, WA",high,,https://careers-americas.icims.com/jobs/20901/software-engineer%252c-2026-graduate-u.s./job?utm_source=vansh,https://careers-americas.icims.com/jobs/20901/software-engineer%252c-2026-graduate-u.s./job?utm_source=vansh,,,vanshb03/New-Grad-2026,410,dead-or-error,
confirmed_closed_or_dead,HTTP 410,curl,410,Circle,"New Grad 2026: Software Engineer, Backend",United States of America,high,,https://careers.circle.com/us/en/job/CIICIRUSJR100011EGEXTERNALENUS/New-Grad-Software-Engineer-Backend-2026?utm_source=vansh,https://careers.circle.com/us/en/job/CIICIRUSJR100011EGEXTERNALENUS/New-Grad-Software-Engineer-Backend-2026?utm_source=vansh,,,vanshb03/New-Grad-2026,410,dead-or-error,
confirmed_closed_or_dead,HTTP 404,curl,404,Databricks,New Grad 2026: Data Scientist,"Mountain View, CA San Francisco, CA",high,,https://www.databricks.com/company/careers/university-recruiting/data-scientist---new-grad-2026-start-6866554002?utm_source=vansh,https://www.databricks.com/company/careers/university-recruiting/data-scientist---new-grad-2026-start-6866554002?utm_source=vansh,,,vanshb03/New-Grad-2026,404,dead-or-error,
confirmed_closed_or_dead,HTTP 404,curl,404,Databricks,New Grad 2026: Software Engineer,"Bellevue, WA Mountain View, CA San Francisco, CA",high,,https://www.databricks.com/company/careers/university-recruiting/software-engineer---new-grad-2026-start-6865698002?utm_source=vansh,https://www.databricks.com/company/careers/university-recruiting/software-engineer---new-grad-2026-start-6865698002?utm_source=vansh,,,vanshb03/New-Grad-2026,404,dead-or-error,
confirmed_closed_or_dead,HTTP 404,curl,404,IMC,New Grad 2026: Software Engineer,"Chicago, IL",high,,https://www.imc.com/us/careers/jobs/4580755101?utm_source=vansh,https://www.imc.com/us/careers/jobs/4580755101?utm_source=vansh,,,vanshb03/New-Grad-2026,404,dead-or-error,
